time,temperature,relative_humidity,wind_speed
2024-01-28T00:00,7.2,83,44.0
2024-01-28T01:00,7.2,79,42.8
2024-01-28T02:00,7.1,79,42.1
2024-01-28T03:00,7.2,77,43.3
2024-01-28T04:00,7.1,78,44.4
2024-01-28T05:00,7.1,79,44.1
2024-01-28T06:00,6.9,79,44.3
2024-01-28T07:00,6.9,79,43.7
2024-01-28T08:00,7.1,79,47.0
2024-01-28T09:00,7.0,81,45.6
2024-01-28T10:00,7.1,82,46.7
2024-01-28T11:00,7.2,84,45.7
2024-01-28T12:00,7.3,83,45.5
2024-01-28T13:00,7.4,82,44.1
2024-01-28T14:00,7.6,81,45.6
2024-01-28T15:00,7.8,79,46.1
2024-01-28T16:00,7.9,80,46.5
2024-01-28T17:00,8.1,80,47.7
2024-01-28T18:00,8.4,81,50.1
2024-01-28T19:00,8.4,83,45.7
2024-01-28T20:00,8.6,84,44.6
2024-01-28T21:00,8.6,85,38.9
2024-01-28T22:00,8.6,87,36.9
2024-01-28T23:00,8.4,89,34.0
2024-01-29T00:00,8.4,91,31.6
2024-01-29T01:00,8.4,92,30.1
2024-01-29T02:00,8.4,92,26.0
2024-01-29T03:00,8.4,93,22.0
2024-01-29T04:00,8.4,94,17.1
2024-01-29T05:00,8.6,90,15.3
2024-01-29T06:00,8.4,86,17.7
2024-01-29T07:00,8.1,87,18.8
2024-01-29T08:00,7.9,88,19.6
2024-01-29T09:00,7.8,88,21.4
2024-01-29T10:00,7.8,90,22.2
2024-01-29T11:00,7.8,84,26.0
2024-01-29T12:00,7.6,86,29.2
2024-01-29T13:00,7.6,88,27.7
2024-01-29T14:00,7.6,91,32.7
2024-01-29T15:00,7.5,89,31.5
2024-01-29T16:00,7.3,93,26.4
2024-01-29T17:00,7.4,96,21.6
2024-01-29T18:00,7.5,97,16.6
2024-01-29T19:00,7.8,97,17.6
2024-01-29T20:00,8.2,96,26.0
2024-01-29T21:00,8.4,96,32.7
2024-01-29T22:00,8.6,95,35.3
2024-01-29T23:00,8.9,93,36.5
2024-01-30T00:00,8.6,93,36.4
2024-01-30T01:00,8.4,93,34.6
2024-01-30T02:00,8.6,92,37.8
2024-01-30T03:00,8.7,91,37.8
2024-01-30T04:00,8.9,90,37.8
2024-01-30T05:00,8.8,91,37.4
2024-01-30T06:00,8.6,93,36.1
2024-01-30T07:00,8.6,93,34.6
2024-01-30T08:00,8.4,94,33.2
2024-01-30T09:00,8.4,94,30.6
2024-01-30T10:00,8.4,95,29.9
2024-01-30T11:00,7.9,95,28.0
2024-01-30T12:00,7.5,91,39.6
2024-01-30T13:00,7.4,88,41.8
2024-01-30T14:00,7.2,84,44.3
2024-01-30T15:00,7.1,82,40.8
2024-01-30T16:00,7.1,81,39.7
2024-01-30T17:00,6.9,78,39.5
2024-01-30T18:00,7.1,78,34.9
2024-01-30T19:00,6.9,74,33.8
2024-01-30T20:00,7.0,69,26.3
2024-01-30T21:00,7.1,72,26.7
2024-01-30T22:00,7.1,73,25.5
2024-01-30T23:00,7.1,78,27.3
2024-01-31T00:00,7.2,78,27.5
2024-01-31T01:00,7.1,78,27.2
2024-01-31T02:00,7.0,78,26.3
2024-01-31T03:00,6.9,80,30.2
2024-01-31T04:00,6.6,85,32.3
2024-01-31T05:00,6.4,86,32.1
2024-01-31T06:00,6.4,84,34.9
2024-01-31T07:00,6.4,84,37.5
2024-01-31T08:00,6.2,79,40.8
2024-01-31T09:00,5.9,79,45.0
2024-01-31T10:00,5.8,83,45.5
2024-01-31T11:00,6.0,78,45.5
2024-01-31T12:00,6.0,80,46.7
2024-01-31T13:00,6.3,80,48.0
2024-01-31T14:00,6.7,80,49.6
2024-01-31T15:00,7.1,80,51.0
2024-01-31T16:00,7.3,81,52.5
2024-01-31T17:00,7.5,82,53.5
2024-01-31T18:00,7.7,83,53.5
2024-01-31T19:00,8.0,84,51.6
2024-01-31T20:00,8.4,86,48.3
2024-01-31T21:00,8.6,87,46.0
2024-01-31T22:00,8.8,88,45.2
2024-01-31T23:00,8.8,89,45.0
2024-02-01T00:00,8.9,90,44.8
2024-02-01T01:00,9.0,90,45.0
2024-02-01T02:00,9.1,90,45.0
2024-02-01T03:00,9.2,90,43.5
2024-02-01T04:00,9.2,91,39.7
2024-02-01T05:00,9.2,92,35.0
2024-02-01T06:00,9.1,93,29.8
2024-02-01T07:00,8.9,92,23.2
